nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
COL,MF,28,1989,0.8,15,15,0,0,0,0,0,0,0,0,0,0,13,0,0
SRB,MF,26,1992,17.6,637,612,24,13,1,4,14,4,3,1,1,0,501,1,16
URU,"MF,FW",25,1993,3.3,91,90,1,0,0,0,5,0,0,0,0,0,67,0,2
ESP,GK,26,1992,35.0,1048,595,448,154,0,1,0,0,0,0,0,0,587,5,0
CHI,DF,24,1994,22.3,709,638,70,70,2,12,0,0,0,0,0,0,533,1,8
ESP,"MF,FW",28,1989,16.1,578,491,82,34,2,9,62,10,25,8,9,0,390,5,16
SWE,FW,26,1992,7.0,156,147,7,0,0,0,10,1,0,0,0,0,103,2,5
ARG,FW,24,1993,31.9,743,721,16,0,2,5,48,1,0,0,0,0,418,6,33
ESP,"MF,FW",27,1991,33.0,1192,863,323,97,8,27,291,118,96,42,36,1,657,6,50
ESP,MF,32,1986,25.9,955,934,17,13,0,9,16,3,0,0,0,0,698,4,24
ESP,DF,22,1996,22.6,964,752,208,9,0,6,42,197,0,0,0,0,653,4,35
GHA,"MF,FW",24,1994,1.9,68,64,4,1,0,0,13,0,2,0,2,0,43,0,2
BRA,DF,24,1993,4.8,160,149,11,11,0,2,0,0,0,0,0,0,114,0,2
ESP,DF,22,1995,30.8,1230,968,258,27,0,7,80,226,5,5,0,0,814,4,27
ESP,"FW,MF",26,1992,10.7,242,239,3,1,1,1,8,0,0,0,0,0,161,0,8
JPN,"MF,FW",30,1988,9.2,261,236,25,2,4,2,27,8,2,1,1,0,187,0,15
ESP,MF,30,1987,26.0,1066,1055,8,6,0,3,7,2,0,0,0,0,876,3,21
ESP,DF,28,1989,36.0,1279,1184,87,77,1,10,1,3,0,0,0,0,896,8,11
GHA,MF,28,1990,18.5,678,648,25,7,0,15,24,14,2,0,1,0,503,5,14
ESP,DF,28,1990,28.1,996,824,171,39,0,6,43,130,0,0,0,0,763,1,22
ESP,"DF,FW",26,1992,18.2,930,728,198,7,0,2,50,191,0,0,0,0,670,4,37
ESP,MF,29,1989,1.1,80,78,2,2,0,0,0,0,0,0,0,0,71,0,0
ESP,FW,37,1981,10.5,238,229,9,0,0,0,6,1,0,0,0,0,146,0,5
ESP,MF,31,1987,22.6,1287,1105,171,85,2,24,108,2,65,23,33,2,1026,11,15
ROU,DF,26,1992,0.5,11,10,1,0,0,0,1,1,0,0,0,0,10,0,0
ESP,MF,28,1990,27.5,1406,1369,35,30,0,18,5,4,0,0,0,0,1159,2,14
ESP,"MF,FW",21,1996,0.6,9,8,1,0,0,0,0,0,0,0,0,0,7,0,1
ESP,GK,30,1988,31.0,983,629,347,138,1,4,0,0,0,0,0,0,552,7,1
ESP,FW,28,1989,6.4,281,238,42,17,2,1,62,2,22,9,9,1,197,1,12
ESP,"MF,FW",25,1992,26.5,1250,1178,65,17,12,3,40,16,17,7,6,0,1042,7,25
GHA,FW,24,1994,33.6,730,691,35,0,8,2,31,8,1,0,0,0,498,4,39
ESP,"FW,MF",21,1997,14.7,465,448,13,1,2,3,44,10,2,0,0,0,301,4,26
ESP,DF,25,1993,2.3,118,92,26,3,0,0,12,21,2,2,0,0,90,0,3
ESP,DF,27,1991,32.2,1472,1342,127,113,5,66,16,14,0,0,0,0,1138,3,11
BIH,"FW,MF",24,1993,1.8,47,45,1,0,0,1,0,0,0,0,0,0,37,1,0
ESP,"FW,MF",30,1987,15.3,638,559,77,30,0,1,105,6,41,14,22,0,469,2,16
ESP,DF,30,1988,5.8,227,183,44,2,0,0,8,42,0,0,0,0,169,0,7
ESP,MF,33,1984,2.7,98,92,6,3,0,1,4,0,0,0,0,0,76,0,2
ESP,MF,29,1989,19.3,720,709,10,6,6,5,11,1,0,0,0,0,540,1,12
ESP,DF,19,1998,5.2,277,270,7,6,0,1,0,1,0,0,0,0,239,0,4
ESP,"MF,FW",32,1986,26.3,932,915,8,1,8,11,28,3,0,0,0,0,502,9,39
ESP,MF,22,1995,3.6,257,250,5,3,0,6,12,1,1,0,1,0,218,2,2
ESP,DF,21,1997,11.8,541,525,13,12,1,7,1,1,0,0,0,0,469,3,2
ESP,GK,21,1997,7.0,191,122,67,12,0,0,0,0,0,0,0,0,125,2,0
ESP,DF,23,1995,29.0,1294,1233,57,55,0,12,4,2,0,0,0,0,1031,4,11
ESP,"DF,FW",28,1990,34.7,1753,1440,309,26,2,12,102,281,2,1,1,0,1384,4,47
ESP,"DF,FW",29,1989,26.9,1349,1099,247,8,0,5,78,239,0,0,0,0,1029,3,38
COL,DF,20,1998,0.5,27,26,1,0,0,0,0,1,0,0,0,0,21,0,0
FRA,"FW,MF",27,1991,35.5,1510,1341,160,52,22,16,101,12,61,26,20,0,1123,9,42
ESP,GK,31,1987,1.0,24,13,11,0,0,0,0,0,0,0,0,0,13,0,0
ESP,FW,18,1999,0.2,4,4,0,0,0,0,0,0,0,0,0,0,2,0,2
ESP,DF,20,1998,1.0,54,44,10,0,0,0,3,10,0,0,0,0,44,0,1
ESP,FW,29,1988,12.4,310,297,11,0,2,2,4,4,0,0,0,0,214,2,22
URU,DF,32,1986,27.9,1056,994,54,53,1,3,0,1,0,0,0,0,844,8,3
BRA,DF,32,1985,22.6,1537,1310,225,31,0,7,54,194,0,0,0,0,1254,2,29
POR,"FW,MF",23,1995,2.5,67,65,1,0,1,0,3,1,0,0,0,0,49,1,6
SVN,GK,25,1993,37.0,864,495,366,75,0,0,0,0,0,0,0,0,476,3,0
ESP,DF,19,1999,4.5,166,152,14,8,0,1,0,6,0,0,0,0,121,0,2
ESP,FW,19,1999,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
URU,DF,23,1995,19.7,734,674,56,44,1,13,0,12,0,0,0,0,585,4,3
ESP,DF,33,1985,17.9,973,814,154,5,0,1,49,149,0,0,0,0,774,5,23
ESP,MF,26,1992,28.7,2081,1892,179,72,14,18,118,12,87,33,40,0,1715,10,27
FRA,DF,22,1996,12.4,557,509,46,10,0,3,10,36,0,0,0,0,448,2,14
CRO,FW,30,1988,7.1,108,106,1,0,0,1,0,0,0,0,0,0,61,1,7
ESP,MF,22,1996,30.4,1933,1892,38,37,1,24,2,1,0,0,0,0,1756,3,11
COL,DF,26,1992,19.7,1015,832,182,9,0,2,51,173,0,0,0,0,787,1,25
ESP,"MF,DF",23,1994,32.5,1619,1516,97,13,4,8,49,81,0,0,0,0,1232,6,41
ESP,FW,17,2001,0.5,10,10,0,0,0,0,1,0,0,0,0,0,8,0,1
MNE,DF,27,1991,15.5,549,527,20,18,0,9,1,2,0,0,0,0,446,2,4
FRA,MF,22,1995,20.2,1020,945,71,16,6,13,73,5,49,14,27,0,825,4,23
GHA,MF,25,1993,23.0,1381,1308,64,25,8,14,27,18,17,9,8,0,1133,9,14
ESP,DF,20,1998,1.0,49,49,0,0,0,1,0,0,0,0,0,0,45,0,0
ESP,"FW,DF",17,2001,0.7,24,23,0,0,0,0,0,0,0,0,0,0,19,1,0
ESP,"MF,FW",28,1989,8.4,322,310,11,0,3,2,3,10,1,0,0,0,249,1,10
ESP,FW,25,1992,12.0,266,256,7,0,1,1,7,0,0,0,0,0,152,3,10
ARG,"MF,FW",23,1995,21.3,753,743,7,2,13,5,34,2,2,1,1,0,547,3,34
ESP,FW,18,2000,0.2,11,11,0,0,0,0,1,0,0,0,0,0,8,0,0
BRA,MF,21,1996,15.9,1292,1254,33,26,6,9,4,3,4,0,1,0,1200,5,12
CHI,MF,31,1987,21.4,1516,1480,31,25,5,20,6,6,0,0,0,0,1342,5,29
ESP,MF,20,1998,7.1,587,572,12,3,3,2,3,8,1,1,0,0,536,3,9
ESP,FW,20,1998,0.2,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
FRA,DF,23,1995,21.5,1147,1114,31,31,3,17,0,0,0,0,0,0,1024,2,10
ESP,"MF,DF",24,1994,0.2,18,15,3,0,0,0,1,2,1,0,0,0,14,0,1
ESP,DF,31,1987,35.0,2407,2320,82,70,0,21,0,12,0,0,0,0,2196,5,10
CRO,MF,30,1988,29.4,2595,2513,67,39,7,43,24,21,7,3,3,0,2344,15,20
NED,GK,29,1989,3.0,111,84,27,3,0,0,0,0,0,0,0,0,98,0,0
FRA,DF,18,1999,1.7,118,116,2,2,1,0,0,0,0,0,0,0,109,0,1
COL,DF,26,1992,1.3,126,123,2,2,0,4,0,0,0,0,0,0,116,1,1
ESP,DF,29,1989,33.2,2695,2356,332,55,9,16,52,276,1,0,0,0,2279,7,44
GHA,FW,31,1987,2.7,61,54,6,1,0,1,0,0,0,0,0,0,46,1,3
ARG,FW,31,1987,30.1,1936,1756,156,84,70,26,78,4,62,19,5,2,1504,24,37
URU,FW,31,1987,31.4,1001,915,79,3,12,17,21,17,0,0,0,0,744,7,39
BRA,"FW,MF",21,1997,6.8,329,312,15,1,0,0,16,6,8,1,5,0,274,2,3
GER,GK,26,1992,35.0,1084,838,245,45,0,3,0,0,0,0,0,0,930,1,0
SEN,"DF,FW",19,1998,2.5,154,133,20,0,0,0,6,20,0,0,0,0,128,1,6
MAR,FW,22,1995,1.7,62,54,7,0,1,0,1,2,1,0,1,0,48,1,0
POR,DF,24,1993,17.8,1213,1077,136,16,0,2,17,120,0,0,0,0,1098,0,20
FRA,"FW,MF",21,1997,18.5,1004,931,70,7,9,7,82,9,54,10,15,0,764,3,29
BRA,"FW,MF",26,1992,22.4,1461,1351,102,21,9,6,49,16,65,33,3,0,1241,8,21
BRA,"FW,MF",25,1993,2.5,148,144,4,3,1,0,3,0,1,1,0,0,131,0,2
ESP,MF,18,1999,1.7,116,115,0,0,1,2,0,0,0,0,0,0,106,1,1
FRA,DF,24,1993,13.2,891,873,17,15,0,6,0,2,0,0,0,0,841,1,2
ESP,"DF,MF",26,1992,23.2,1783,1626,152,23,6,2,27,129,0,0,0,0,1599,5,26
ESP,MF,30,1988,30.2,2405,2301,100,95,5,12,2,5,0,0,0,0,2152,4,23
BEL,DF,32,1985,6.5,383,360,23,5,0,2,1,18,0,0,0,0,360,0,2
ESP,FW,19,1999,0.9,30,30,0,0,0,1,0,0,0,0,0,0,25,0,3
MEX,"MF,DF",31,1986,25.9,1684,1565,110,51,7,27,49,34,23,2,7,5,1453,9,21
ESP,"DF,FW",31,1987,10.4,637,555,81,9,0,3,41,72,0,0,0,0,527,1,12
PAR,FW,22,1996,9.0,141,122,17,0,0,0,2,0,0,0,0,0,103,2,6
ALG,DF,26,1991,34.0,2616,2499,116,97,1,38,19,19,0,0,0,0,2407,1,16
ESP,"DF,FW",26,1991,17.5,915,807,108,3,1,15,44,93,12,5,2,1,763,0,22
MEX,"FW,MF",18,2000,3.9,131,125,6,2,0,0,6,2,1,1,0,0,109,0,6
BRA,"FW,DF",19,1999,3.5,191,149,41,5,0,0,8,36,0,0,0,0,155,1,6
ESP,"DF,FW",22,1996,19.8,997,836,158,13,0,4,66,145,0,0,0,0,776,3,42
ARG,"MF,FW",22,1996,26.6,1461,1398,50,33,15,11,15,9,5,0,2,2,1194,13,49
ESP,"DF,MF",31,1987,5.8,445,438,7,6,0,1,0,1,0,0,0,0,417,0,3
ESP,"FW,MF",25,1993,8.7,196,175,21,0,1,1,2,1,4,1,0,0,146,0,6
ESP,"FW,MF",37,1981,18.8,976,878,95,18,0,6,92,35,40,11,8,8,779,3,20
ESP,GK,28,1990,5.0,187,143,42,15,0,0,0,0,0,0,0,0,147,2,0
DOM,"DF,FW",21,1996,21.5,1138,949,184,20,1,6,35,164,0,0,0,0,914,5,20
ESP,FW,24,1993,21.7,355,317,36,2,1,3,11,5,0,0,0,0,259,2,25
ESP,DF,27,1991,32.5,2278,2205,67,66,0,25,5,1,0,0,0,0,1991,6,16
ESP,GK,23,1994,33.0,1248,924,320,71,0,1,0,0,0,0,0,0,1015,4,2
ALG,"MF,FW",28,1990,6.0,343,329,10,4,2,1,24,1,5,0,3,0,282,4,5
ESP,MF,27,1991,29.5,1898,1705,183,76,9,23,143,9,93,38,34,1,1581,10,31
ESP,"FW,MF",29,1989,7.1,104,89,14,0,0,1,3,1,0,0,0,0,79,1,7
BRA,DF,28,1989,19.4,1274,1204,67,48,1,23,9,19,0,0,0,0,1130,3,7
JPN,MF,30,1988,4.2,131,123,8,2,2,1,8,2,3,0,1,0,105,0,6
CMR,MF,22,1996,8.6,326,322,3,2,1,3,1,1,0,0,0,0,279,1,9
POR,MF,26,1992,26.5,1912,1871,37,36,7,17,3,1,0,0,0,0,1696,4,18
MAR,DF,29,1989,18.9,1287,1215,68,61,1,24,4,7,0,0,0,0,1104,4,6
DEN,"MF,FW",23,1995,4.0,137,129,8,0,2,0,23,5,3,2,1,0,95,0,5
ESP,"MF,FW",21,1997,26.1,1249,1089,149,55,4,12,108,17,69,30,24,1,919,11,28
ESP,DF,23,1995,13.0,688,661,25,22,0,11,1,3,0,0,0,0,603,2,10
ESP,DF,24,1993,19.5,1053,876,170,19,1,6,65,151,0,0,0,0,831,7,18
GER,FW,21,1997,2.4,43,38,4,0,0,0,2,2,0,0,0,0,30,1,2
NGA,"FW,MF",21,1996,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1
TUR,"FW,MF",21,1997,4.1,89,84,4,1,2,0,5,0,0,0,0,0,65,1,5
ARG,DF,31,1987,11.9,565,521,44,12,0,2,6,32,0,0,0,0,468,0,11
ESP,MF,19,1999,16.9,865,840,23,23,3,5,4,0,0,0,0,0,783,2,14
ARG,DF,32,1985,21.1,912,886,24,22,0,8,0,2,0,0,0,0,793,2,5
ESP,DF,27,1991,34.4,1997,1585,404,58,1,12,177,321,25,2,19,1,1426,8,50
ESP,"FW,MF",30,1987,25.0,919,875,38,13,7,9,32,13,3,1,0,0,731,6,24
ESP,MF,27,1991,12.8,716,697,14,13,1,17,8,0,1,0,0,0,597,5,14
PAR,"DF,MF",25,1993,6.0,319,278,39,4,0,3,12,35,0,0,0,0,233,2,8
ESP,DF,25,1993,2.4,116,96,19,2,0,0,6,17,0,0,0,0,87,1,3
URU,DF,24,1994,10.0,487,407,76,6,1,1,42,69,1,0,1,0,356,4,11
DEN,"MF,FW",22,1996,2.6,81,79,2,1,0,1,3,0,1,0,1,0,61,0,1
URU,FW,21,1996,32.9,694,609,80,0,2,10,12,4,0,0,0,0,497,5,19
MEX,DF,26,1991,29.8,1502,1450,49,43,1,9,2,6,0,0,0,0,1291,3,8
TUR,MF,24,1994,24.4,1397,1347,43,42,0,21,2,1,0,0,0,0,1196,7,19
DEN,"FW,MF",23,1995,9.4,456,433,22,10,1,13,27,1,11,7,3,0,376,1,6
ESP,GK,23,1995,25.0,818,503,312,92,0,5,0,0,0,0,0,0,534,3,0
ALG,"MF,FW",28,1990,8.0,397,357,38,16,2,2,47,2,20,13,4,0,301,2,12
SVK,DF,24,1994,1.0,54,47,7,1,0,1,4,6,0,0,0,0,44,0,0
ESP,GK,31,1986,13.0,463,304,154,26,0,1,0,0,0,0,0,0,302,5,0
MAR,"MF,FW",24,1993,23.2,872,813,54,20,7,9,60,6,26,15,5,0,659,5,20
SVK,MF,23,1994,27.7,1418,1382,33,28,0,15,9,2,3,0,0,1,1257,3,14
NED,DF,24,1994,9.9,497,472,21,19,0,18,2,2,0,0,0,0,417,4,6
ESP,DF,31,1987,21.7,1152,1077,71,47,1,42,8,24,0,0,0,0,863,4,14
ESP,GK,34,1983,14.0,392,254,134,54,0,0,0,0,0,0,0,0,221,4,0
CPV,MF,28,1990,0.7,34,33,1,0,0,1,10,1,0,0,0,0,22,0,1
BRA,FW,34,1984,19.3,561,523,37,0,2,0,12,3,0,0,0,0,381,1,25
CHI,"MF,FW",32,1986,30.4,1303,1237,62,9,5,12,105,30,22,0,15,0,957,4,55
ARG,MF,25,1993,19.9,767,761,2,2,3,7,7,0,0,0,0,0,591,4,21
ESP,DF,33,1984,18.6,819,777,35,33,0,27,1,2,0,0,0,0,644,7,7
ESP,MF,24,1994,31.9,1875,1650,215,89,1,68,177,4,121,22,79,0,1473,10,27
ESP,DF,22,1995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,DF,28,1989,33.6,2173,1640,521,63,2,43,260,413,45,2,41,2,1386,12,69
ESP,FW,28,1989,14.4,407,392,14,1,0,2,12,0,0,0,0,0,278,1,16
ESP,"FW,MF",23,1995,6.7,175,166,7,0,0,2,7,1,0,0,0,0,121,2,5
ESP,"MF,FW",20,1998,26.2,998,918,74,2,0,2,72,72,0,0,0,0,744,6,43
SRB,GK,26,1992,24.0,760,498,261,106,0,1,0,0,0,0,0,0,367,1,0
ESP,MF,21,1997,0.8,40,40,0,0,0,0,0,0,0,0,0,0,36,0,1
ESP,MF,25,1993,2.0,80,59,21,8,0,0,31,2,11,5,5,0,45,0,3
ARG,"DF,MF",30,1988,16.9,803,699,102,7,2,2,65,95,0,0,0,0,550,2,25
SEN,MF,32,1986,26.1,1146,1120,21,20,1,11,11,1,0,0,0,0,829,5,12
POR,DF,26,1992,24.9,1020,966,49,45,0,23,1,4,0,0,0,0,698,5,13
ESP,DF,27,1990,6.5,300,287,10,9,1,4,0,1,0,0,0,0,245,3,1
ESP,"MF,FW",31,1986,4.7,166,139,26,8,0,2,40,3,15,7,4,2,84,1,7
ESP,"MF,FW",25,1992,3.8,135,120,12,1,0,1,16,2,9,0,8,0,71,3,9
ESP,DF,27,1991,29.7,1954,1531,411,34,1,22,216,377,0,0,0,0,1308,12,70
ESP,FW,28,1990,28.7,941,896,42,2,1,12,6,7,0,0,0,0,667,3,31
ESP,"DF,MF",26,1992,11.9,500,491,7,7,0,3,0,0,0,0,0,0,395,2,8
ESP,DF,20,1998,8.5,314,240,72,1,2,1,15,69,2,0,0,0,246,2,4
GNB,MF,20,1997,0.5,22,22,0,0,0,0,1,0,0,0,0,0,17,0,1
ESP,FW,25,1993,34.2,688,610,78,2,5,4,12,2,1,0,1,0,477,0,42
ESP,DF,28,1989,20.2,1213,1148,64,61,0,10,2,3,0,0,0,0,1070,1,7
ESP,GK,36,1981,38.0,1205,741,460,127,0,2,0,0,0,0,0,0,835,4,0
ESP,DF,29,1989,26.2,1418,1163,245,25,0,16,77,220,0,0,0,0,1009,10,46
ESP,MF,31,1987,22.4,1201,1048,149,84,5,10,76,1,64,10,31,3,988,4,18
ARG,FW,27,1991,2.3,52,48,4,0,0,0,2,1,0,0,0,0,35,0,2
PAR,"FW,MF",29,1989,8.8,270,259,10,1,2,3,39,8,1,0,0,0,171,1,14
ESP,DF,32,1986,21.6,1112,887,217,20,1,5,57,197,0,0,0,0,848,8,30
ESP,"FW,MF",20,1998,4.0,93,90,3,0,0,0,2,2,0,0,0,0,64,0,1
ESP,DF,21,1997,5.8,245,237,8,7,0,2,0,1,0,0,0,0,198,0,0
BRA,"FW,MF",25,1992,13.7,388,372,16,1,2,2,10,9,2,0,0,0,278,0,30
ESP,MF,21,1996,34.6,1965,1894,69,65,12,31,5,2,2,2,0,0,1702,2,14
ESP,DF,23,1995,31.2,1625,1551,65,60,4,47,1,5,0,0,0,0,1355,9,11
BRA,DF,29,1988,15.1,605,568,33,32,0,5,0,1,0,0,0,0,489,4,4
ARG,"FW,MF",29,1989,8.3,282,250,31,8,2,2,45,3,20,8,7,1,185,1,16
VEN,DF,29,1988,19.4,1159,950,205,10,0,10,47,195,0,0,0,0,865,4,33
ESP,MF,24,1993,30.1,1307,1222,73,37,13,10,56,4,32,8,9,8,1010,12,29
ESP,"FW,MF",35,1983,16.5,505,442,58,13,5,5,55,6,34,9,10,2,317,5,29
ESP,MF,30,1987,14.1,559,533,20,10,3,5,17,3,7,4,1,0,440,6,22
CHN,"FW,MF",26,1991,11.8,212,206,2,0,1,0,9,1,0,0,0,0,151,4,7
ESP,MF,21,1997,1.2,77,73,4,3,0,1,2,0,1,1,0,0,69,0,1
CRC,"DF,MF",29,1989,7.3,334,328,6,6,0,2,1,0,0,0,0,0,290,0,1
ESP,"MF,FW",20,1997,22.2,889,866,16,6,13,1,13,1,9,3,0,0,746,7,19
SEN,MF,22,1996,11.1,210,204,2,0,1,1,11,0,1,0,1,0,142,4,13
ESP,DF,28,1990,18.9,517,477,39,28,0,12,5,11,0,0,0,0,365,1,8
URU,DF,30,1988,36.0,1998,1256,736,171,1,84,188,481,84,16,41,4,1317,6,54
ESP,GK,25,1993,37.0,1095,621,466,186,0,0,0,1,0,0,0,0,466,8,0
FRA,"MF,DF",25,1993,20.0,459,421,33,3,0,2,26,30,0,0,0,0,276,5,34
TOG,DF,26,1991,33.1,991,954,32,28,0,17,8,4,0,0,0,0,705,5,19
ESP,MF,28,1990,22.2,813,770,35,9,11,7,40,16,10,2,1,0,594,8,42
JPN,"MF,FW",26,1992,4.3,137,119,17,9,2,0,19,1,5,2,1,0,82,1,6
ESP,"MF,FW",18,1999,4.6,65,62,3,0,0,0,4,2,1,0,0,0,41,0,2
ESP,DF,25,1992,3.5,92,87,5,5,1,0,1,0,0,0,0,0,51,0,1
ESP,MF,23,1995,1.6,43,36,6,3,0,1,7,3,0,0,0,0,18,1,2
ESP,"FW,MF",29,1988,27.0,708,697,7,1,2,4,55,0,0,0,0,0,413,4,43
ESP,FW,36,1982,29.4,765,741,13,2,14,1,17,2,0,0,0,0,495,11,35
URU,DF,27,1991,31.0,1126,916,199,72,0,55,28,127,0,0,0,0,556,11,35
ARG,GK,28,1990,1.0,27,15,12,9,0,0,0,0,0,0,0,0,12,0,0
ESP,MF,32,1986,0.6,18,16,1,0,0,1,0,0,0,0,0,0,13,1,0
FRA,MF,34,1984,5.0,135,135,0,0,0,2,0,0,0,0,0,0,89,0,0
URU,"DF,MF",20,1997,11.2,397,331,62,2,1,1,18,60,0,0,0,0,221,4,12
URU,MF,22,1995,29.7,776,743,23,15,2,36,24,3,2,0,1,1,519,10,16
SRB,MF,23,1995,35.7,779,721,52,10,0,6,4,0,0,0,0,0,581,6,18
ESP,MF,25,1993,0.8,19,19,0,0,0,1,0,0,0,0,0,0,17,0,0
ESP,MF,27,1991,3.4,140,130,9,2,0,2,6,1,6,2,0,0,95,1,4
URU,MF,24,1993,5.0,149,144,5,2,0,5,6,0,3,1,0,0,112,0,4
ESP,"MF,FW",27,1991,0.3,14,14,0,0,0,0,3,0,0,0,0,0,6,0,2
POR,"DF,MF",31,1987,24.2,1198,820,366,64,0,20,141,256,46,11,19,3,701,12,41
ESP,FW,31,1987,20.2,350,335,12,0,4,6,27,3,0,0,0,0,221,3,17
ESP,"DF,MF",30,1987,7.2,320,247,71,13,0,6,50,49,9,3,1,0,227,2,6
ESP,MF,21,1997,18.5,1160,1055,102,47,2,25,77,7,48,14,30,0,945,3,14
HON,"FW,MF",25,1993,8.1,190,182,8,0,1,3,10,0,0,0,0,0,122,0,10
COL,DF,29,1989,30.3,1397,1351,42,41,0,12,0,1,0,0,0,0,1198,4,6
ESP,"MF,FW",27,1990,29.2,1345,1309,32,9,21,15,42,11,8,2,3,0,1085,4,23
ESP,DF,27,1991,4.7,230,195,34,3,0,1,14,31,0,0,0,0,162,1,5
URU,FW,31,1986,30.3,507,437,69,0,0,2,3,0,0,0,0,0,343,1,11
ESP,MF,28,1989,1.8,87,82,5,5,0,6,0,0,0,0,0,0,74,0,0
BRA,MF,20,1998,16.6,746,711,34,29,1,17,16,1,4,1,3,0,619,1,7
ESP,GK,37,1981,6.2,231,142,89,25,0,0,0,0,0,0,0,0,156,0,0
COL,"FW,MF",25,1992,0.2,9,8,1,0,0,0,2,1,0,0,0,0,6,0,0
ESP,DF,25,1993,18.0,804,734,69,12,0,8,30,57,0,0,0,0,651,1,25
ESP,DF,27,1991,30.7,1579,1472,100,80,0,21,4,20,0,0,0,0,1277,7,15
CMR,"FW,DF",20,1998,0.9,24,24,0,0,0,0,2,0,0,0,0,0,18,0,0
ESP,"DF,MF",26,1992,15.6,866,760,103,22,2,9,17,81,0,0,0,0,687,3,18
KOR,"FW,MF",21,1997,0.7,20,20,0,0,0,1,0,0,0,0,0,0,17,0,0
ENG,"MF,FW",21,1997,6.7,188,181,6,1,1,1,8,5,0,0,0,0,150,1,4
ESP,DF,29,1989,20.8,869,823,44,43,0,19,3,1,0,0,0,0,686,2,8
ESP,DF,18,1999,24.6,1246,976,264,13,1,12,124,251,0,0,0,0,837,6,54
ESP,MF,25,1993,31.0,1199,1183,13,12,3,7,11,1,0,0,0,0,932,3,21
ESP,"FW,MF",26,1992,31.3,701,686,11,5,4,3,72,4,0,0,0,0,480,4,35
ESP,DF,29,1989,9.4,502,380,119,13,0,2,58,105,1,0,1,0,346,3,15
CIV,FW,30,1987,6.0,71,64,7,0,0,0,1,0,0,0,0,0,50,0,4
ESP,"DF,FW",18,1999,9.9,404,302,102,3,0,1,26,99,0,0,0,0,320,0,9
MAR,GK,27,1991,31.8,984,633,349,85,0,0,0,0,0,0,0,0,660,2,0
ESP,"MF,DF",29,1988,26.6,1533,1284,237,128,3,35,173,42,66,40,21,0,1088,12,24
ESP,DF,22,1996,8.3,208,190,18,14,1,3,0,4,0,0,0,0,151,0,0
SRB,GK,25,1992,12.0,334,200,132,52,0,0,0,0,0,0,0,0,158,2,0
ARG,GK,22,1996,6.0,177,87,90,25,0,0,0,0,0,0,0,0,84,0,0
EQG,DF,25,1993,11.4,443,351,89,3,1,5,7,86,0,0,0,0,332,3,13
ESP,MF,21,1997,18.8,696,674,20,17,0,4,9,3,0,0,0,0,546,2,28
COL,FW,19,1999,23.9,607,553,48,0,3,13,50,8,1,0,1,0,404,6,33
ARG,"MF,DF",31,1987,18.7,785,747,34,27,0,12,3,5,1,0,0,0,626,4,13
ESP,"MF,FW",30,1988,25.3,1042,870,164,52,4,14,258,37,75,39,28,3,647,8,27
ESP,FW,31,1986,17.1,387,349,35,0,5,1,10,0,0,0,0,0,209,3,15
ARG,"FW,MF",24,1994,22.2,583,546,31,1,6,19,40,14,1,0,1,0,296,6,32
ESP,MF,24,1994,14.9,723,710,11,5,1,5,3,2,0,0,0,0,619,2,7
ESP,"DF,FW",23,1994,16.0,631,461,166,3,3,1,68,163,0,0,0,0,402,4,29
ESP,DF,29,1989,27.7,1339,1057,277,6,0,15,81,271,0,0,0,0,981,5,35
ESP,DF,27,1991,30.9,1069,902,157,34,0,7,16,123,0,0,0,0,788,10,17
ESP,MF,32,1985,3.8,189,180,6,6,0,4,2,0,0,0,0,0,166,3,0
ESP,"MF,DF",37,1980,0.4,24,24,0,0,0,1,2,0,0,0,0,0,12,0,1
VEN,"MF,FW",24,1994,7.4,235,208,25,15,2,1,14,2,8,3,2,1,169,2,4
ESP,MF,32,1986,1.3,93,91,1,0,1,0,3,0,1,0,1,0,71,1,4
POR,DF,33,1985,5.6,246,203,43,0,1,0,9,42,1,1,0,0,206,0,5
ARG,DF,34,1984,7.8,226,219,7,7,0,1,0,0,0,0,0,0,180,0,3
ESP,MF,24,1994,33.9,1546,1415,122,65,2,25,113,4,52,29,14,1,1210,9,24
ESP,DF,24,1993,8.6,246,240,6,6,0,4,0,0,0,0,0,0,192,0,1
SRB,DF,28,1989,0.7,24,16,8,1,0,1,2,7,0,0,0,0,15,0,1
ESP,GK,33,1985,20.0,588,307,276,111,0,1,0,0,0,0,0,0,308,5,0
POR,DF,24,1994,9.4,361,350,11,10,0,4,0,1,0,0,0,0,313,0,5
ITA,FW,26,1992,6.2,83,74,8,0,1,0,1,0,0,0,0,0,52,1,2
TUR,"MF,FW",26,1991,5.4,170,160,9,1,0,0,19,3,5,1,3,0,105,1,13
ESP,DF,30,1987,29.7,899,856,35,34,0,10,8,1,0,0,0,0,666,8,12
